Exportaciones por Inciso Arancelario;;;;;;;;;;;;;;;;;;;;;;;;
Comercio General;;;;;;;;;;;;;;;;;;;;;;;;
Período: 2002 - 2025;;;;;;;;;;;;;;;;;;;;;;;;
-Cifras en US dólares-;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Numero de Inciso;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025 p/
02064990;0;0;0;0;0;0;0;0;0;0;53258;73005;104.814 ;73.025 ;64848;0;0;0;0;0;0;0;0;0
0206499000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73543;77167;24916;6517;2060;611;0;515;0
02068000;15852;25.779 ;68;0;0;0;0;0;0;0;0;0;120 ;20 ;0;0;0;0;0;0;0;0;0;0
0206800000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0
02069000;24;0;0;0;0;17.970 ;0;0;0;1.198 ;0;4.290 ;0;0;0;0;0;0;0;0;0;0;0;0
02071100;0;27126;0;0;36;68;0;921738;73920;0;185907;0;16526;31798;34383;1.443 ;0;0;0;0;0;0;0;0 
0207110000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.772 ;0;0;0;0;0;0;251293;828304
02071200;0;477950;326956;1240637;529578;755316;1325981;345765;42065;32081;15416;626947;334716;250034;623030;211.140 ;0;0;0;0;0;0;0;0 
0207120000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1681454;4306699;2690639;528496;751545;271663;1730154;237065;157108
02071391;0;0;0;0;400843;400850;639543;490597;368815;331413;246751;160972;73347;39353;15105;992;0;0;0;0;0;0;0;0 
0207139100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21668;49320;569030;265644;0;0;109527;664048;312189
02071392;0;0;0;0;0;0;397;831337;48637;9968;1390;0;0;0;0;0;0;0;0;0;0;0;0;0 
0207139200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9246;18449;4396
02071393;0;0;0;0;0;0;0;0;0;0;127.792 ;0;0;0;0;0;0;0;0;0;0;0;0;0
0207139300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11100;451.074 ;836.925 ;693.840 
02071399;0;0;0;0;162.921 ;749.720 ;1.865.928 ;915.952 ;844.633 ;894.914 ;311.780 ;176.543 ;29.587 ;13.684 ;351 ;0;0;0;0;0;0;0;0;0
02071410;15072;0;0;0;208450;469250;545695;360655;465340;558377;401386;388471;323629;184529;131597;6.903 ;0;0;0;0;0;0;0;0 
0207141000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127901;151491;345530;303203;43500;0;29196;470147;739142
02071491;0;252;0;0;64344;113897;187538;41761;216403;141455;499847;125851;49840;37504;379248;683 ;0;0;0;0;0;0;0;0 
0207149100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159412;375389;174380;80857;260622;466670;49500;820273;381894
02071492;0;0;0;0;0;0;0;494330;1576343;2351354;2947263;3003482;1119156;1942142;2849056;0;0;0;0;0;0;0;0;0 
0207149200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;889.736 ;10103;7;0;0;17095;24036;15573;0
02071493;0;0;0;0;0;0;0;0;0;0;625.766 ;767.064 ;634.948 ;88 ;14.826 ;0;0;0;0;0;0;0;0;0
0207149300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.933 ;0;0;53.521 ;80.984 ;528 ;213.697 ;1.038.245 ;58.152 
0207149400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10562;0;0;3140;0;0;0;0;0
02071499;0;0;0;916.505 ;1339823;2123042;1410153;1834239;1830852;1526237;517928;910586;1360327;331560;170876;0;0;0;0;0;0;0;0;0
0207149900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;165022;266713;232891;281749;403013;489115;1104696;480899;73812
02072500;28947;0;0;0;0;0;0;0;0;0;0;0;0;222443;0;0;0;0;0;0;0;0;0;0
02072690;0;0;0;12316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02072710;0;0;0;0;0;0;0;0;0;0;0;0;89;0;0;0;0;0;0;0;0;0;0;0
02072790;0;0;0;0;0;0;0;0;0;0;0;0;15558;0;0;0;0;0;0;0;0;0;0;0
0207279000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10350;0;15042;0;0;0;0
02073300;0;0;0;0;0;0;0;0;0;644;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02073610;0;0;0;0;0;0;0;574;0;512;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02073690;308;0;0;0;0;0;0;0;1260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02074100;0;0;0;0;0;0;0;0;0;0;749;0;0;0;0;0;0;0;0;0;0;0;0;0
0207420000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2605;0;1355;0;0;0;0
0207451000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;742;0;0;0 
0207459000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2280;0;0;0;0
02075590;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
0207559000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0
02082000;0;3681;0;1029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02084000;0;0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02090010;0;3713;11582;5699;231568;4607;2798;0;4032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02090020;0;0;0;0;7196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02090030;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02091010;0;0;0;0;0;0;0;0;0;0;0;0;0;2.581 ;0;0;0;0;0;0;0;0;0;0
0209101000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;777 ;13.393 ;0;1658;0;0;0;59.865 ;0 
